 0 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 5286 
 1 3427 5197 4528 3417 5143 4449 3480 5194 5373 5248 4388 4953 1999 2599 2034 5316 4846 5578 5443 5299 5143 5450 5146 5415 5147 4846 4528 4750 3510 5181 2758 5337 3480 4750 4651 5201 5443 5113 2717 4573 5025 5871 5181 4750 5443 2545 5066 5173 1986 5405 5644 4585 4057 5113 5240 5197 5850 2545 5337 5198 5371 4955 5100 5025 3412 4989 5213 4989 5289 4651 5146 5129 5084 5203 5100 5644 1984 4722 5240 4846 5100 4503 5422 1983 4460 5049 5299 5371 3510 5316 5366 4450 3412 4147 5578 5268 1983 4989 5395 5318 
 2 3535 2567 5143 5628 4730 1986 2518 4645 4589 4425 3661 3435 5278 3350 4225 2655 5390 5183 5099 5169 2030 5327 5130 5691 3413 3653 5445 5196 2419 4914 4807 1943 4706 4189 4476 2508 3191 4780 4831 5359 80 1953 4319 2273 3507 5097 4826 4783 5228 1896 5146 3313 4127 1969 5281 5299 1879 5772 5307 4383 5287 4669 2008 3312 4777 4480 4581 4534 5328 4460 1960 3458 143 2030 5121 3963 4298 5169 3317 5267 5756 2789 1866 3016 5399 5099 1905 3590 5102 5289 4413 4997 2694 5518 4564 5190 3350 3510 3930 2659 
 3 3969 4744 4017 2037 3388 3294 3985 3293 4033 5185 2603 3037 2108 4789 3503 4457 1948 4903 5851 5452 3796 4100 3810 2537 4183 5005 4330 5309 3147 4274 3793 943 5292 5396 3716 2926 4694 1790 2006 5427 3208 4579 5191 2939 3858 5099 87 2747 5345 4080 4786 4821 1906 5499 4811 5859 1813 1864 3528 4302 4754 5390 4190 2022 5587 3889 2785 3894 2738 3967 5504 2522 2070 3938 1786 2763 5338 1987 5826 3532 4272 1869 2464 2908 5153 2765 717 5192 2677 5992 4499 164 2461 3686 3088 4382 4375 5356 5238 1923 
 4 2541 2255 4126 3909 4636 1235 5452 4607 3001 5538 3533 4414 3376 2061 2420 1623 1167 2710 4801 2044 4336 1559 4588 3778 1939 6113 4495 631 144 2125 144 2269 3386 1967 4076 3595 2940 4957 1990 1733 3620 1834 3998 623 5339 5719 4948 606 3967 3354 1073 5000 5277 2680 3045 1874 5602 5022 5058 4932 5104 1884 5257 865 3311 2587 4160 3994 5055 613 4411 5798 5596 3255 2352 3650 3582 846 2816 1739 1807 3075 3802 5237 3335 3123 2276 4833 1963 4642 3651 4021 2734 4487 5379 1884 879 2051 144 4166 
 5 5207 4543 3863 4550 4534 2068 5123 3342 2129 2086 2586 3361 4386 3405 3879 2363 4019 5188 1870 3649 4316 1987 4484 5141 3257 4763 1201 1881 1882 2109 4216 3739 4208 5162 710 5052 148 4215 1289 5342 148 148 1795 2753 4068 1089 2225 3651 5979 5606 1932 5355 4913 4724 4217 1169 3847 2454 4159 5987 4291 2058 6040 4797 3647 1027 1486 2070 1528 4042 3836 4799 4737 148 2080 3171 2300 5340 2067 5744 1135 3715 2171 2089 3451 6136 2722 2934 1752 3229 5754 3679 4180 1924 2708 4166 2116 2162 4318 3453 
 6 3770 4776 3336 2395 4230 4553 1098 1481 801 1639 2471 2604 1978 4152 4149 4135 5201 1678 2166 1564 1199 169 1770 1626 3451 4582 5012 3557 1097 663 4065 4351 4767 4375 2188 1229 4636 807 5656 169 4298 1345 4124 4214 5003 1598 3818 4473 5448 4711 5418 4590 1202 1708 1903 5285 1095 4848 3551 4867 4616 2213 2523 3582 4107 5872 1998 4734 2355 3558 2407 2209 2047 5106 3519 1449 1661 3339 169 1637 3532 1199 3849 4390 520 4204 3488 1427 1215 2131 1754 5231 3717 5174 5233 3055 5668 5195 4029 5152 
 7 3962 751 4168 73 1961 151 5538 3323 3120 3556 5633 2414 4590 5934 1849 2828 5119 5812 2037 1288 2753 4611 2754 601 4364 1057 1276 3273 2263 845 776 4827 1907 2407 2777 556 886 591 2314 3762 151 2154 4329 905 5806 2896 4629 2847 2000 3959 1846 3460 151 4431 151 2831 3986 4570 843 2894 5212 1516 73 3421 2652 4247 870 2514 804 2277 4361 1098 2824 3377 2370 3840 2978 819 4278 1610 3810 2246 1656 2317 4843 4193 1152 78 5156 3144 724 2025 868 78 823 3123 1581 3394 3200 827 
 8 2034 2280 162 3051 2181 2166 3779 3789 4571 86 2403 642 2474 4303 1319 1988 2639 2110 2200 1776 1864 4001 4323 876 2051 1767 2273 1782 2000 4818 162 5071 2921 1644 162 1415 86 2215 5629 2655 162 3015 5501 2778 1565 4582 1249 162 1839 2195 3854 162 3944 3981 6140 4418 4487 1432 784 3306 2160 1838 4052 1985 3310 3466 2962 3670 2310 1907 1842 1318 1802 1594 162 1808 1413 737 3419 2208 162 162 2138 5864 1699 2119 2044 3793 162 1746 3175 4922 76 2775 1123 1103 3915 1286 2332 4232 
 9 4775 1306 93 3089 2386 928 3153 3679 182 1444 3914 2717 1038 1873 2098 93 4968 3418 1750 574 2648 2228 1563 1994 918 182 89 763 4167 1658 182 1909 2572 1784 997 2935 182 4370 901 894 3110 3405 4579 1833 183 3012 182 89 93 182 3691 543 683 2104 2194 3356 2163 3213 5570 4355 3403 719 674 1360 4688 183 1145 3073 767 5177 2907 4393 3203 3265 2379 182 3352 494 3799 93 2174 182 3418 182 4602 1000 89 2917 2480 1188 2563 3207 4230 813 2422 2719 1532 182 835 968 
